,, ----------------------------------- types -----------------------------------
\bGrass\b,Erba,
\bFire\b,Fuoco,
\bWater\b,Acqua,
\bLightning\b,Lampo,
\bPsychic\b,Psico,
\bFighting\b,Lotta,
\bDarkness\b,Oscurità,
\bMetal\b,Metallo,
\bDragon\b,Drago,
\bColorless\b,Incolore,
\bFairy\b,Folletto,
,, --------------------------------- templates --------------------------------- // TODO
\bTCG ID\b,GCC ID,
,, -------------------------------- expansions -------------------------------- // NOTA: I SET CHE HANNO NOME ITA = NOME ENG NON SERVE TRADURLI
\bBase Set\b,Set Base,//TODO: QUESTA SOSTITUZIONE PRENDE ANCHE 'Base Set 2' CHE PERO' NON HA UN CORRISPETTIVO ITALIANO
\bEX Ruby & Sapphire\b,EX Rubino & Zaffiro,
\bEX Sandstorm\b,EX Tempesta di Sabbia,
\bEX Dragon\b,EX Drago,// POTENZIALE CONFLITTO CON \bDragon\b --> Drago PER CUI POTREBBE NON SERVIRE QUESTA RIGA
\bEX Team Magma vs Team Aqua\b,EX Team Magma vs Team Idro,
\bEX Hidden Legends\b,EX Leggende Nascoste,
\bEX FireRed & LeafGreen\b,EX RossoFuoco e VerdeFoglia,
\bEX Emerald\b,EX Smeraldo,
\bEX Unseen Forces\b,EX Forze Segrete,
\bEX Delta Species\b,EX Specie Delta,
\bEX Legend Maker\b,EX La Leggenda di Mew,
\bEX Holon Phantoms\b,EX Fantasmi di Holon,
\bEX Crystal Guardians\b,EX Guardiani dei Cristalli,
\bEX Dragon Frontiers\b,EX L'Isola dei Draghi,
\bDiamond & Pearl\b,Diamante & Perla,
\bMysterious Treasures\b,Tesori Misteriosi,
\bSecret Wonders\b,Prodigi Segreti,
\bGreat Encounters\b,Incontri Leggendari,
\bMajestic Dawn\b,Alba Suprema,
\bLegends Awakened\b,Il Risveglio dei Miti,
\bStormfront\b,Fronte di Tempesta,
\bPlatinum\b,Platino,
\bRising Rivals\b,L'Ascesa dei Rivali,
\bPlatinum: Arceus\b,Platino - Arceus,// POTENZIALE CONFLITTO CON \bPlatinum\b --> Platino
\bUnleashed\b,Forze Scatenate,
\bUndaunted\b,Senza Paura,
\bTriumphant\b,Battaglie Trionfali,
\bCall of Legends\b,Richiamo delle Leggende,
\bBlack & White\b,Nero e Bianco,
\bEmerging Powers\b,Nuove Forze,
\bNoble Victories\b,Vittorie Regali,
\bNext Destinies\b,Destini Futuri,
\bDark Explorers\b,Esploratori delle Tenebre,
\bDragons Exalted\b,Stirpe dei Draghi,
\bConfini Varcati\b,Boundaries Crossed,
\bPlasma Storm\b,Uragano Plasma,
\bPlasma Freeze\b,Glaciazione Plasma,
\bPlasma Blast\b,Esplosione Plasma,
,, --------------------------------- alt forms ---------------------------------// TODO
\bMow Rotom\b,Rotom Taglio,
\bHeat Rotom\b,Rotom Calore,
\bWash Rotom\b,Rotom Lavaggio,
\bFrost Rotom\b,Rotom Gelo,
\bFan Rotom\b,Rotom Vortice,
\bOrigin Forme Palkia\b,Palkia Forma Originale,
\bOrigin Forme Dialga\b,Dialga Forma Originale,
\bPaldean Tauros\b,Tauros di Paldea,
\bPaldean Wooper\b,Wooper di Paldea,
\bPaldean Clodsire\b,Clodsire di Paldea,
\bAlolan Exeggutor\b,Exeggutor di Alola,
\bAlolan Marowak\b,Marowak di Alola,
\bAlolan Sandshrew\b,Sandshrew di Alola,
\bAlolan Sandslash\b,Sandslash di Alola,
\bAlolan Vulpix\b,Vulpix di Alola,
\bAlolan Ninetales\b,Ninetales di Alola,
\bAlolan Raichu\b,Raichu di Alola,
\bAlolan Geodude\b,Geodude di Alola,
\bAlolan Graveler\b,Graveler di Alola,
\bAlolan Golem\b,Golem di Alola,
\bAlolan Rattata\b,Rattata di Alola,
\bAlolan Raticate\b,Raticate di Alola,
\bAlolan Meowth\b,Meowth di Alola,
\bAlolan Persian\b,Persian di Alola,
\bAlolan Grimer\b,Grimer di Alola,
\bAlolan Muk\b,Muk di Alola,
\bAlolan Diglett\b,Diglett di Alola,
\bAlolan Dugtrio\b,Dugtrio di Alola,
\bHisuian Basculin\b,Basculin di Hisui,
\bHisuian Basculegion\b,Basculegion di Hisui,
\bHisuian Growlithe\b,Growlithe di Hisui,
\bHisuian Arcanine\b,Arcanine di Hisui,
\bHisuian Voltorb\b,Voltorb di Hisui,
\bHisuian Electrode\b,Electrode di Hisui,
\bHisuian Typhlosion\b,Typhlosion di Hisui,
\bHisuian Qwilfish\b,Qwilfish di Hisui,
\bHisuian Overqwil\b,Overqwil di Hisui,
\bHisuian Sneasel\b,Sneasel di Hisui,
\bHisuian Sneasler\b,Sneasler di Hisui,
\bRadiant Hisuian Sneasler\b,Sneasler di Hisui Lucente,
\bHisuian Samurott\b,Samurott di Hisui,
\bHisuian Lilligant\b,Lilligant di Hisui,
\bHisuian Zorua\b,Zorua di Hisui,
\bHisuian Zoroark\b,Zoroark di Hisui,
\bHisuian Braviary\b,Braviary di Hisui,
\bHisuian Sliggoo\b,Sliggoo di Hisui,
\bHisuian Goodra\b,Goodra di Hisui,
\bHisuian Avalugg\b,Avalugg di Hisui,
\bHisuian Decidueye\b,Decidueye di Hisui,
,, -------------------------------- stages --------------------------------
{{TCG\|Basic Pokémon}},{{TCG|Base}},
{{TCG\|Stage 1 Pokémon}},{{TCG|Fase 1}},
{{TCG\|Stage 2 Pokémon}},{{TCG|Fase 2}},
