025P,0025Co
025S,0025Si
025W,0025G
201EX,0201PE
201QU,0201PI
351H,0351N
351R,0351P
382P,0382A
383P,0383A
386S,0386V
412G,0412Sa
412S,0412Sc
413G,0413Sa
413S,0413Sc
479F,0479V
479L,0479T
479O,0479C
479R,0479G
479W,0479L
492S,0492C
493Bug,0493C
493Dark,0493B
493Dragon,0493D
493Electric,0493El
493Fairy,0493Fo
493Fighting,0493L
493Fire,0493Fu
493Flying,0493Vo
493Ghost,0493S
493Grass,0493Er
493Ground,0493T
493Ice,0493G
493Poison,0493Ve
493Psychic,0493P
493Rock,0493R
493Steel,0493Ai
493Water,0493Aq
550W,0550Bi
585S,0585E
585W,0585I
586S,0586E
586W,0586I
646B,0646N
646W,0646B
648P,0648D
649B,0649I
649R,0649P
649W,0649G
649Y,0649V
666Arc,0666A
666Con,0666C
666Ele,0666E
666Fan,0666Sr
666Gar,0666Pr
666Hig,0666D
666Icy,0666
666Jun,0666Gu
666Mar,0666Mr
666Mod,0666T
666Mon,0666Pl
666Oce,0666O
666Pok,0666Po
666Pol,0666No
666Riv,0666F
666San,0666Sb
666Sav,0666Sv
666Sun,0666So
666Tun,0666Mn
669B,0669Bl
669O,0669A
669W,0669Bi
669Y,0669G
670B,0670Bl
670O,0670A
670W,0670Bi
670Y,0670G
671B,0671Bl
671O,0671A
671W,0671Bi
671Y,0671G
676Da,0676Gu
676De,0676Si
676Di,0676D
676He,0676C
676Ka,0676K
676La,0676R
676Ma,0676Gd
676Ph,0676F
681B,0681S
710La,0710L
710Sm,0710S
710Su,0710XL
711La,0711L
711Sm,0711S
711Su,0711XL
716N,0716A
718C,0718P
718T,0718D
720U,0720L
741Pa,0741H
741Po,0741C
741Se,0741B
745D,0745C
745Mn,0745N
746Sc,0746B
773Bug,0773C
773Dark,0773B
773Dragon,0773D
773Electric,0773El
773Fairy,0773Fo
773Fighting,0773L
773Fire,0773Fu
773Flying,0773Vo
773Ghost,0773S
773Grass,0773Er
773Ground,0773T
773Ice,0773G
773Poison,0773Ve
773Psychic,0773P
773Rock,0773R
773Steel,0773Ai
773Water,0773Aq
774B,0774Az
774G,0774Ve
774O,0774Ar
774V,0774Vi
774Y,0774G
778B,0778S
800DM,0800V
800DW,0800A
801O,0801A
845Go,0845I
845Gu,0845T
849L,0849B
869B,0869LvB
869C,0869LvFo
869CaS,0869CmFa
869CaSB,0869CmB
869CaSC,0869CmFo
869CaSF,0869CmFe
869CaSL,0869CmC
869CaSR,0869CmFc
869CaSS,0869CmS
869F,0869LvFe
869L,0869LvC
869LeC,0869LFa
869LeCB,0869LB
869LeCC,0869LFo
869LeCF,0869LFe
869LeCL,0869LC
869LeCR,0869LFc
869LeCS,0869LS
869MaC,0869MaFa
869MaCB,0869MaB
869MaCC,0869MaFo
869MaCF,0869MaFe
869MaCL,0869MaC
869MaCR,0869MaFc
869MaCS,0869MaS
869MiC,0869MeFa
869MiCB,0869MeB
869MiCC,0869MeFo
869MiCF,0869MeFe
869MiCL,0869MeC
869MiCR,0869MeFc
869MiCS,0869MeS
869R,0869LvFc
869RaS,0869TmFa
869RaSB,0869TmB
869RaSC,0869TmFo
869RaSF,0869TmFe
869RaSL,0869TmC
869RaSR,0869TmFc
869RaSS,0869TmS
869RuC,0869RFa
869RuCB,0869RB
869RuCC,0869RFo
869RuCF,0869RFe
869RuCL,0869RC
869RuCR,0869RFc
869RuCS,0869RS
869RuS,0869RmFa
869RuSB,0869RmB
869RuSC,0869RmFo
869RuSF,0869RmFe
869RuSL,0869RmC
869RuSR,0869RmFc
869RuSS,0869RmS
869S,0869LvS
869SaC,0869SFa
869SaCB,0869SB
869SaCC,0869SFo
869SaCF,0869SFe
869SaCL,0869SC
869SaCR,0869SFc
869SaCS,0869SS
875N,0875L
877H,0877V
888C,0888R
889C,0889R
890E,0890D
892R,0892P
892RGi,0892PGi
893D,0893P
898I,0898G
