Bisasam,Bulbasaur
Bisaknosp,Ivysaur
Bisaflor,Venusaur
Glumanda,Charmander
Glutexo,Charmeleon
Glurak,Charizard
Schiggy,Squirtle
Schillok,Wartortle
Turtok,Blastoise
Raupy,Caterpie
Safcon,Metapod
Smettbo,Butterfree
Hornliu,Weedle
Kokuna,Kakuna
Bibor,Beedrill
Taubsi,Pidgey
Tauboga,Pidgeotto
Tauboss,Pidgeot
Rattfratz,Rattata
Rattikarl,Raticate
Habitak,Spearow
Ibitak,Fearow
Rettan,Ekans
Arbok,Arbok
Pikachu,Pikachu
Raichu,Raichu
Sandan,Sandshrew
Sandamer,Sandslash
Nidoran♀,Nidoran♀
Nidorina,Nidorina
Nidoqueen,Nidoqueen
Nidoran♂,Nidoran♂
Nidorino,Nidorino
Nidoking,Nidoking
Piepi,Clefairy
Pixi,Clefable
Vulpix,Vulpix
Vulnona,Ninetales
Pummeluff,Jigglypuff
Knuddeluff,Wigglytuff
Zubat,Zubat
Golbat,Golbat
Myrapla,Oddish
Duflor,Gloom
Giflor,Vileplume
Paras,Paras
Parasek,Parasect
Bluzuk,Venonat
Omot,Venomoth
Digda,Diglett
Digdri,Dugtrio
Mauzi,Meowth
Snobilikat,Persian
Enton,Psyduck
Entoron,Golduck
Menki,Mankey
Rasaff,Primeape
Fukano,Growlithe
Arkani,Arcanine
Quapsel,Poliwag
Quaputzi,Poliwhirl
Quappo,Poliwrath
Abra,Abra
Kadabra,Kadabra
Simsala,Alakazam
Machollo,Machop
Maschock,Machoke
Machomei,Machamp
Knofensa,Bellsprout
Ultrigaria,Weepinbell
Sarzenia,Victreebel
Tentacha,Tentacool
Tentoxa,Tentacruel
Kleinstein,Geodude
Georok,Graveler
Geowaz,Golem
Ponita,Ponyta
Gallopa,Rapidash
Flegmon,Slowpoke
Lahmus,Slowbro
Magnetilo,Magnemite
Magneton,Magneton
Porenta,Farfetch'd
Dodu,Doduo
Dodri,Dodrio
Jurob,Seel
Jugong,Dewgong
Sleima,Grimer
Sleimok,Muk
Muschas,Shellder
Austos,Cloyster
Nebulak,Gastly
Alpollo,Haunter
Gengar,Gengar
Onix,Onix
Traumato,Drowzee
Hypno,Hypno
Krabby,Krabby
Kingler,Kingler
Voltobal,Voltorb
Lektrobal,Electrode
Owei,Exeggcute
Kokowei,Exeggutor
Tragosso,Cubone
Knogga,Marowak
Kicklee,Hitmonlee
Nockchan,Hitmonchan
Schlurp,Lickitung
Smogon,Koffing
Smogmog,Weezing
Rihorn,Rhyhorn
Rizeros,Rhydon
Chaneira,Chansey
Tangela,Tangela
Kangama,Kangaskhan
Seeper,Horsea
Seemon,Seadra
Goldini,Goldeen
Golking,Seaking
Sterndu,Staryu
Starmie,Starmie
Pantimos,Mr. Mime
Sichlor,Scyther
Rossana,Jynx
Elektek,Electabuzz
Magmar,Magmar
Pinsir,Pinsir
Tauros,Tauros
Karpador,Magikarp
Garados,Gyarados
Lapras,Lapras
Ditto,Ditto
Evoli,Eevee
Aquana,Vaporeon
Blitza,Jolteon
Flamara,Flareon
Porygon,Porygon
Amonitas,Omanyte
Amoroso,Omastar
Kabuto,Kabuto
Kabutops,Kabutops
Aerodactyl,Aerodactyl
Relaxo,Snorlax
Arktos,Articuno
Zapdos,Zapdos
Lavados,Moltres
Dratini,Dratini
Dragonir,Dragonair
Dragoran,Dragonite
Mewtu,Mewtwo
Mew,Mew
Endivie,Chikorita
Lorblatt,Bayleef
Meganie,Meganium
Feurigel,Cyndaquil
Igelavar,Quilava
Tornupto,Typhlosion
Karnimani,Totodile
Tyracroc,Croconaw
Impergator,Feraligatr
Wiesor,Sentret
Wiesenior,Furret
Hoothoot,Hoothoot
Noctuh,Noctowl
Ledyba,Ledyba
Ledian,Ledian
Webarak,Spinarak
Ariados,Ariados
Iksbat,Crobat
Lampi,Chinchou
Lanturn,Lanturn
Pichu,Pichu
Pii,Cleffa
Fluffeluff,Igglybuff
Togepi,Togepi
Togetic,Togetic
Natu,Natu
Xatu,Xatu
Voltilamm,Mareep
Waaty,Flaaffy
Ampharos,Ampharos
Blubella,Bellossom
Marill,Marill
Azumarill,Azumarill
Mogelbaum,Sudowoodo
Quaxo,Politoed
Hoppspross,Hoppip
Hubelupf,Skiploom
Papungha,Jumpluff
Griffel,Aipom
Sonnkern,Sunkern
Sonnflora,Sunflora
Yanma,Yanma
Felino,Wooper
Morlord,Quagsire
Psiana,Espeon
Nachtara,Umbreon
Kramurx,Murkrow
Laschoking,Slowking
Traunfugil,Misdreavus
Icognito,Unown
Woingenau,Wobbuffet
Girafarig,Girafarig
Tannza,Pineco
Forstellka,Forretress
Dummisel,Dunsparce
Skorgla,Gligar
Stahlos,Steelix
Snubbull,Snubbull
Granbull,Granbull
Baldorfish,Qwilfish
Scherox,Scizor
Pottrott,Shuckle
Skaraborn,Heracross
Sniebel,Sneasel
Teddiursa,Teddiursa
Ursaring,Ursaring
Schneckmag,Slugma
Magcargo,Magcargo
Quiekel,Swinub
Keifel,Piloswine
Corasonn,Corsola
Remoraid,Remoraid
Octillery,Octillery
Botogel,Delibird
Mantax,Mantine
Panzaeron,Skarmory
Hunduster,Houndour
Hundemon,Houndoom
Seedraking,Kingdra
Phanpy,Phanpy
Donphan,Donphan
Porygon2,Porygon2
Damhirplex,Stantler
Farbeagle,Smeargle
Rabauz,Tyrogue
Kapoera,Hitmontop
Kussilla,Smoochum
Elekid,Elekid
Magby,Magby
Miltank,Miltank
Heiteira,Blissey
Raikou,Raikou
Entei,Entei
Suicune,Suicune
Larvitar,Larvitar
Pupitar,Pupitar
Despotar,Tyranitar
Lugia,Lugia
Ho-Oh,Ho-Oh
Celebi,Celebi
Geckarbor,Treecko
Reptain,Grovyle
Gewaldro,Sceptile
Flemmli,Torchic
Jungglut,Combusken
Lohgock,Blaziken
Hydropi,Mudkip
Moorabbel,Marshtomp
Sumpex,Swampert
Fiffyen,Poochyena
Magnayen,Mightyena
Zigzachs,Zigzagoon
Geradaks,Linoone
Waumpel,Wurmple
Schaloko,Silcoon
Papinella,Beautifly
Panekon,Cascoon
Pudox,Dustox
Loturzel,Lotad
Lombrero,Lombre
Kappalores,Ludicolo
Samurzel,Seedot
Blanas,Nuzleaf
Tengulist,Shiftry
Schwalbini,Taillow
Schwalboss,Swellow
Wingull,Wingull
Pelipper,Pelipper
Trasla,Ralts
Kirlia,Kirlia
Guardevoir,Gardevoir
Gehweiher,Surskit
Maskeregen,Masquerain
Knilz,Shroomish
Kapilz,Breloom
Bummelz,Slakoth
Muntier,Vigoroth
Letarking,Slaking
Nincada,Nincada
Ninjask,Ninjask
Ninjatom,Shedinja
Flurmel,Whismur
Krakeelo,Loudred
Krawumms,Exploud
Makuhita,Makuhita
Hariyama,Hariyama
Azurill,Azurill
Nasgnet,Nosepass
Eneco,Skitty
Enekoro,Delcatty
Zobiris,Sableye
Flunkifer,Mawile
Stollunior,Aron
Stollrak,Lairon
Stolloss,Aggron
Meditie,Meditite
Meditalis,Medicham
Frizelbliz,Electrike
Voltenso,Manectric
Plusle,Plusle
Minun,Minun
Volbeat,Volbeat
Illumise,Illumise
Roselia,Roselia
Schluppuck,Gulpin
Schlukwech,Swalot
Kanivanha,Carvanha
Tohaido,Sharpedo
Wailmer,Wailmer
Wailord,Wailord
Camaub,Numel
Camerupt,Camerupt
Qurtel,Torkoal
Spoink,Spoink
Groink,Grumpig
Pandir,Spinda
Knacklion,Trapinch
Vibrava,Vibrava
Libelldra,Flygon
Tuska,Cacnea
Noktuska,Cacturne
Wablu,Swablu
Altaria,Altaria
Sengo,Zangoose
Vipitis,Seviper
Lunastein,Lunatone
Sonnfel,Solrock
Schmerbe,Barboach
Welsar,Whiscash
Krebscorps,Corphish
Krebutack,Crawdaunt
Puppance,Baltoy
Lepumentas,Claydol
Liliep,Lileep
Wielie,Cradily
Anorith,Anorith
Armaldo,Armaldo
Barschwa,Feebas
Milotic,Milotic
Formeo,Castform
Kecleon,Kecleon
Shuppet,Shuppet
Banette,Banette
Zwirrlicht,Duskull
Zwirrklop,Dusclops
Tropius,Tropius
Palimpalim,Chimecho
Absol,Absol
Isso,Wynaut
Schneppke,Snorunt
Firnontor,Glalie
Seemops,Spheal
Seejong,Sealeo
Walraisa,Walrein
Perlu,Clamperl
Aalabyss,Huntail
Saganabyss,Gorebyss
Relicanth,Relicanth
Liebiskus,Luvdisc
Kindwurm,Bagon
Draschel,Shelgon
Brutalanda,Salamence
Tanhel,Beldum
Metang,Metang
Metagross,Metagross
Regirock,Regirock
Regice,Regice
Registeel,Registeel
Latias,Latias
Latios,Latios
Kyogre,Kyogre
Groudon,Groudon
Rayquaza,Rayquaza
Jirachi,Jirachi
Deoxys,Deoxys
Chelast,Turtwig
Chelcarain,Grotle
Chelterrar,Torterra
Panflam,Chimchar
Panpyro,Monferno
Panferno,Infernape
Plinfa,Piplup
Pliprin,Prinplup
Impoleon,Empoleon
Staralili,Starly
Staravia,Staravia
Staraptor,Staraptor
Bidiza,Bidoof
Bidifas,Bibarel
Zirpurze,Kricketot
Zirpeise,Kricketune
Sheinux,Shinx
Luxio,Luxio
Luxtra,Luxray
Knospi,Budew
Roserade,Roserade
Koknodon,Cranidos
Rameidon ,Rampardos
Schilterus,Shieldon
Bollterus,Bastiodon
Burmy,Burmy
Burmadame,Wormadam
Moterpel,Mothim
Wadribie,Combee
Honweisel,Vespiquen
Pachirisu,Pachirisu
Bamelin,Buizel
Bojelin,Floatzel
Kikugi,Cherubi
Kinoso,Cherrim
Schalellos,Shellos
Gastrodon,Gastrodon
Ambidiffel,Ambipom
Driftlon,Drifloon
Drifzepeli,Drifblim
Haspiror,Buneary
Schlapor,Lopunny
Traunmagil,Mismagius
Kramshef,Honchkrow
Charmian,Glameow
Shnurgarst,Purugly
Klingplim,Chingling
Skunkapuh,Stunky
Skuntank,Skuntank
Bronzel,Bronzor
Bronzong,Bronzong
Mobai,Bonsly
Pantimimi,Mime Jr.
Wonneira,Happiny
Plaudagei,Chatot
Kryppuk,Spiritomb
Kaumalat,Gible
Knarksel,Gabite
Knakrack,Garchomp
Mampfaxo,Munchlax
Riolu,Riolu
Lucario,Lucario
Hippopotas,Hippopotas
Hippoterus,Hippowdon
Pionskora,Skorupi
Piondragi ,Drapion
Glibunkel,Croagunk
Toxiquak,Toxicroak
Venuflibis,Carnivine
Finneon,Finneon
Lumineon,Lumineon
Mantirps ,Mantyke
Shnebedeck,Snover
Rexblisar,Abomasnow
Snibunna,Weavile
